lang_code,lang_name,page,korean,foreign_translation,pronunciation
01,영어 (English),21,외과,Surgical Department,썰지컬 디팔트먼트
01,영어 (English),21,음주를 줄여주세요,Reduce your drink.,뤼듀스 유얼 드륑크
01,영어 (English),21,의료보험에 가입하였으니 병원에 가더라도 치료비가 적게 나옵니다,"Though you have a health card, 
but when you go to the hospital you still have to pay a small amount.","도우 유 해브 어 핼쓰 카ㄹ드, 벋 웬 유 고 투 더 하스피털 유 스틸 해브 투 페이 어 스몰 어마운트"
01,영어 (English),21,이 계좌로 입금해주세요,Please deposit to this account number.,플리즈 디파짙 투 디스 어카운트 넘벌
01,영어 (English),22,이 병은 전염이 되니 조심하세요,Be careful because this disease is contageous,비 케어풀 비커즈 디스 디지즈 이즈 컨테이져스
01,영어 (English),22,이 약은 삼일분입니다.,This medicine is good for 3 days.,디스 메디슨 이즈 굳 포 뜨리 데이즈
01,영어 (English),22,이곳에 싸인을 해주세요,Please sign over here.,플리즈 사인 오벌 히얼
01,영어 (English),22,이비인후과,Otolaryngology,오우토우레륑갈러지
01,영어 (English),22,임신했나요?,Are you pregnant?,아 유 프레그넌트?
01,영어 (English),22,잠시만 가만히 있으세요,Just hold on please.,져스트 홀드 언 플리즈
01,영어 (English),22,잠시만 숨을 참아주세요,Please hold your breath.,플리즈 홀드 유얼 브레쓰
01,영어 (English),22,잠잘때는 꼭 씻으세요,Certainly wash before you go to sleep.,썰튼리 워쉬 비폴 유 고 투 슬립
01,영어 (English),22,장애가 있습니까?,Do you have disability?,두 유 해브 디스어빌러티?
01,영어 (English),22,조금 아플수 있습니다.,It could be little painful.,잍 쿠드 비 리틀 페인풀
01,영어 (English),23,종아리가 아프세요?,Is your calf painful?,이즈 유얼 캐프 페인풀?
01,영어 (English),23,종합검사를 받기를 권유합니다.,General chekup is recommended,제너럴 체크업 이즈 뤠커맨디드
01,영어 (English),23,종합병원,General Hospital,제너럴 하스피털
01,영어 (English),23,컨디션은 어떠세요?,How's your condition?,하우즈 유얼 컨디션?
01,영어 (English),23,콧물이 흐르나요 ?,Is your snivel flow?,이즈 유얼 스니벌 플로우?
01,영어 (English),23,팔이 아프세요?,Does your arm painful?,더즈 유얼 암 페인풀?
01,영어 (English),23,평소 지병이 있나요?,Do you have a chronic disease usually?,두 유 해브 어 크뤄닉 디지즈 유줠리?
01,영어 (English),23,푹 주무셨나요?,Did you slept well?,디 쥬 슬렙 웰?
01,영어 (English),23,피곤하십니까?,Are you tired?,아 유 타이어드?
01,영어 (English),23,항상 건강에 조심하세요,Always take care of your health.,올웨이즈 테잌 케얼 어브 유얼 핼쓰
01,영어 (English),24,허리가 아프세요?,Is your waist painful?,이즈 유얼 웨이스트 페인풀?
01,영어 (English),24,허벅지가 아프세요?,Is your thigh painful?,이즈 유얼 ㅆ따이 페인풀?
01,영어 (English),24,휴식이 필요합니다.,You need to take a rest.,유 니드 투 테이크 어 뤠스트
01,영어 (English),24,계란,Egg,에그
01,영어 (English),24,골고루 드세요.,Eat in balance.,잍 밸런슬리
01,영어 (English),24,과일을 드십시요,Eat a fruit,잍 어 플룻
01,영어 (English),24,과일을 좋아하십니까?,Do you like fruits?,두 유 라이크 플룻츠?
01,영어 (English),24,국을 드시겠습니까?,Do you want soup?,두 유 원트 숩?
01,영어 (English),24,김치 먹을 수 있어요?,Can you eat Kimchi?,캔 유 잍 김치?
01,영어 (English),24,달다,Sweet/Sugary,스윝/ 슈거리
01,영어 (English),25,당신은 무슨 음식을 좋아하십니까?,What kind of food do you like?,왓 카인 어브 푸드 두 유 라이크?
01,영어 (English),25,돼지고기 먹습니까?,Can you eat pork?,캔 유 잍 폴크?
01,영어 (English),25,라면을 좋아하세요?,Do you like noodles?,두 유 라이크 누들스?
01,영어 (English),25,막걸리,Raw Rice Wine (Mackoli),뤄 롸이스 와인(막걸리)
01,영어 (English),25,많이 드세요,Eat as much as you want.,잍 애즈 머취 애즈 유 원ㅌ
01,영어 (English),25,매운것도 잘 먹을 수 있어요?,Can you eat hot and spicy?,캔 유 잍 핱 앤 스파이시?
01,영어 (English),25,맥주 한잔 할까요?,Do you want to drink beer?,두 유 원 투 드륑크 비얼?
01,영어 (English),25,맵다,Hot/Spicy,핱/ 스파이시
01,영어 (English),25,먹고 싶은게 있으면 말씀하세요.,Tell me if you want to eat something.,텔 미 이프 유 원 투 잍 썸띵
01,영어 (English),25,무엇이 먹고 싶습니까 ?,What do you like to eat?,왓 두 유 라잌 투 잍?
01,영어 (English),26,물 드세요,Drink a water,드륑킹 어 워털
01,영어 (English),26,밥 많이 먹었어요?,Did you eat much?,디 쥬 잍 머취?
01,영어 (English),26,배가 고프신가요?,Do you feel hungry?,두 유 필 헝그뤼?
01,영어 (English),26,소주를 좋아하세요?,Do you like liquor(soju)?,두 유 라이크 리컬(소주)?
01,영어 (English),26,쇠고기 먹습니까?,Can you eat beef?,캔 유 잍 비프?
01,영어 (English),26,수저가 여기에 있습니다.,The spoon is here,더 스푼 이즈 히얼
01,영어 (English),26,식사 후 설거지를 깨끗하게 해주세요,Wash the dishes after meal,워쉬 더 디쉬즈 애프털 밀
01,영어 (English),26,식사는 제대로 해 먹고 있나요?,Are you eating on time?,아 유 이팅 언 타임?
